icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
aa2a7f,1662048408.0,,1662051054,,SKW3228 ,KTUL,,KDFW,,CL-600-2C10,CRJ7,N754SK
8964da,1662066548.0,,1662068056,,ADY101  ,OMAA,,,,A320 214SL,A320,A6-AOT
80149e,1661990405.0,,1661992302,,IGO786  ,,,,,Airbus A321-251NX,A21N,VT-ILX
ac444b,1662056167.0,,1662057474,,N89PL   ,KBAZ,,61TX,,PC-24,,N89PL
ad3fd7,1662018065.0,,1662019343,,N953AL  ,KOLM,,KBFI,,EC 135 T2+,EC35,N953AL
780c2f,1662005931.0,,1662018084,1662018082.0,CSC3779 ,,ZUUU,LLBG,LLBG,A330 343E,A333,B-5945
a00fe6,1662044391.0,,1662045299,,SD1     ,LOXN,,LOXN,,208B,C208,N103AN
400771,1661990403.0,,1662011802,,BAW63H  ,,,EGKK,,BOEING 777-236,B772,G-VIIT
4ca809,1662045752.0,,1662052194,,RYR4KQ  ,LEBL,,LYPG,,BOEING 737-8AS,B738,EI-EKJ
ac9240,1662034936.0,,1662038924,,SKW4632 ,,,K9X1,,CL-600-2B19,CRJ2,N909SW
a1fc3b,1662047666.0,,1662049699,,ENY3959 ,KTPA,,KMIA,,ERJ 170-200 LR,E75L,N227NN
a85185,1662034480.0,,1662042886,,NKS3161 ,KDFW,,KMIA,,A320-232,A320,N635NK
88434e,1662016886.0,,1662020979,,BKP207  ,VTBS,,,,ATR 72-600,AT76,HS-PZN 
3c64a1,1662044341.0,1662044342.0,1662058289,1662058111.0,DLH687  ,LLBG,LLBG,EDDF,EDDF,A321-271NX,A21N,D-AIEA
aba54b,1662066898.0,,1662069646,,N85DA   ,KHPN,,KMVY,,SR22,,N85DA
862338,1662017885.0,,1662019563,,ANA397  ,RJTT,,RJSC,,737NG 881/W,B738,JA62AN
a4e0ec,1662048941.0,,1662051904,,SKW986H ,KLAX,,KSJC,,ERJ 170-200 LR,,N413SY
8880a1,1662035169.0,,1662036052,,HVN1279 ,,,,,A321 231,A321,VN-A393
ad589c,1662032604.0,,1662035845,,N9591L  ,KCPK,,KCPK,,172P,,N9591L
ac5cd7,1661999660.0,,1662001964,,AAL516  ,KTPA,,KMIA,,737-823,B738,N896NN
a99565,1662052813.0,,1662057883,,N7165G  ,KF70,,KF70,,172K,,N7165G
503e36,1662035535.0,1662035521.0,1662043180,1662043179.0,NSZ4312 ,LFPG,LFPG,ESSA,ESSA,Airbus A320-232,A320,LY-FJI
a272b8,1662051714.0,,1662055547,,ENY4240 ,KAUS,,KTUL,,ERJ 170-200 LR,E75L,N257NN
706026,1662039729.0,,1662042057,,KAC619  ,,,OTHH,,A320 214SL,A320,9K-AKF
a54cfb,1662040268.0,,1662045530,,OXF3571 ,KFFZ,,KFFZ,,PA-28-181,,N4400F
a4eb4e,1661990405.0,,1661995132,,N416KC  ,,,KU42,,FALCON 900EX,F9DX,N416KC
acf5bb,1662045159.0,,1662055280,,NKS262  ,KPHL,,KDFW,,A320-271N,,N934NK
a46d95,1662035377.0,,1662042255,,UAL2474 ,KORD,,KDEN,,737-900ER,B739,N38479
a20757,1662044150.0,,1662045472,,N23ND   ,,,,,C90GTI,BE9L,N23ND
a01b5c,1661990786.0,,1661994770,,DAL2132 ,KRDU,,KLGA,,BD-500-1A10,,N106DU
a73a10,1662047740.0,,1662054355,,LXJ565  ,,,KSFO,,BD-100-1A10,,N565FX
c079d5,1661998822.0,,1662026632,,WJA1    ,CYYC,,EGKK,,B787-9,,C-GUDO
a6290b,1662044900.0,,1662046962,,N4962L  ,KMCC,,KMCC,,152,,N4962L
485922,1662046440.0,,1662047559,,PH1606  ,EDLG,,EDLG,,,,
a2f75e,1662034852.0,,1662035518,,N290VJ  ,KTYS,,KSCX,,,,
a3ef55,1662044880.0,,1662046269,,N3525U  ,KOKV,,KFRR,,172S,,N3525U
78169e,1662013191.0,,1662027864,,CQH6539 ,ZGSZ,,,,Airbus A320-251N,A20N,B-308K
7c146d,1662026814.0,,1662039928,,QFA783  ,YMML,,YPPH,,A330-202,A332,VH-EBJ
a62bc5,1661990404.0,,1661992995,,N497TC  ,2CA4,,KCRQ,,172S,,N497TC
7c6aef,1662007547.0,,1662012629,,VEP     ,YWOL,,YMEN,,340 B,SF34,VH-VEP
888051,1662037295.0,,1662039095,,HVN156  ,,,VVGL,,A321 231,A321,VN-A354
ab6b04,1662061410.0,,1662062886,,EDV4822 ,KATL,,,,CL-600-2B19,CRJ2,N835AY
49d3d3,1662029470.0,,1662036981,,ISR572  ,LGTS,,LLBG,,737-8 MAX,B38M,OK-SWC
a2a395,1662065205.0,,1662067468,,BMJ1023 ,,,KMSP,,SA227-AC,,N26959
a64cd3,1662053212.0,,1662072039,,N505DE  ,RI20,,KSMO,,MYSTERE-FALCON 50,,N505DE
345617,1662009403.0,1662009405.0,1662028569,1662028600.0,LAV702  ,GOBD,GOBD,LIME,LIME,,,
a2ef4b,1662055695.0,,1662064140,,N2889E  ,0GA0,,K4A7,,182R,,N2889E
aabf79,1662060651.0,,1662061476,,N792AF  ,5NC3,,5NC3,,VULCANAIR V1.0,,N792AF
151e50,1662061758.0,,1662067494,,PBD403  ,UUWW,,,,Boeing 737-81D,B738,RA-73296
adcfe6,1662054785.0,,1662058776,,N9897F  ,KCRQ,,KCRQ,,172R,,N9897F
406f87,1661990403.0,,1661994606,1661994604.0,EXS76NA ,,LTAI,EGPH,EGPH,BOEING 737-8K2,B738,G-JZHF
7503b1,1661993097.0,,1661994808,,AXM74   ,WMKK,,,,A320 216SL,A320,9M-AJG
a2b2b9,1661990425.0,,1661992958,,N273ME  ,,,KRVS,,T206H,,N273ME
a4b4c5,1662071510.0,,1662073528,,KAP1027 ,KBOS,,15ME,,402C,,N402HG
ab8901,1662036574.0,1662036591.0,1662040182,1662040551.0,N842TS  ,EDFM,EDFM,LSZR,LSZR,PA-28R-201T,P28R,N842TS
a8856d,1662040773.0,,1662050956,,UAL1624 ,KEWR,,,,737-924ER,B739,N64809
a1b7a2,1662062051.0,,1662063009,,N21EW   ,KFUL,,KBUR,,182G,,N21EW
a4e491,,,1662053293,,N414SE  ,,,TE48,,414,,N414SE
ab42bf,1662048340.0,,1662050918,,N8245A  ,CL04,,KRHV,,170B,,N8245A
800bf9,1662014262.0,,1662015837,,AIC671  ,VOMM,,,,A320 251NSL,A20N,VT-EXU
7c7aa4,1662010594.0,,1662014143,,VOZ527  ,YSSY,,YBCG,,737NG 8FE/W,B738,VH-YIE
a540e3,1662031801.0,,1662047925,,AAL2938 ,KEWR,,KPHX,,A321-253NX,A321,N438AN
a8ce92,1662026865.0,,1662031236,,DAL2272 ,KSRQ,,KATL,,757-232,B752,N667DN
407cb0,1662046680.0,1662046681.0,1662052611,1662052603.0,RUK63DW ,EGSS,EGSS,ENGM,ENGM,Boeing 737-8AS,B738,G-RUKD
4cac07,1662043124.0,,1662046254,,KZR7605 ,,,,,Airbus A320-232,A320,EI-KBN
896024,1662026802.0,,1662029982,,BAR713  ,OMAS,,OMRK,,DHC-8 315Q,DH8C,A6-ADD
a01ca5,1662052536.0,,1662062636,,SKW4707 ,K9X1,,CYYZ,,EMB-175 200LR,E75L,N106SY
e48135,1662024783.0,,1662029780,,TAM3242 ,,,,,A320 214,A320,PR-MHU
a1522b,1662035163.0,,1662041655,,N1842E  ,KPUB,,KCOS,,172S,,N1842E
4bb026,1662017025.0,,1662027116,,THY8VB  ,EDDL,,,,,,
7c42d2,1662023825.0,,1662025268,,NWK2754 ,YPPH,,,,F28 MK 0100,F100,VH-NHG
e03050,1662038523.0,,1662039143,,ARG1529 ,,,SABE,,737NG 76N/W,B737,LV-CAP
a9c151,1661990404.0,,1662010805,,AAL106  ,,,EGLL,,777 323ER,B77W,N728AN
a3ef52,1662049626.0,,1662055461,,N3525R  ,KTEB,,KPSM,,182T,,N3525R
39be91,1662034185.0,1662034186.0,1662036992,1662036877.0,VLJ613S ,LSGG,LSGG,LFMN,LFMN,Raytheon Aircraft Company 125 800XP,H25B,F-HPUR
a95be8,1662044195.0,,1662045287,,N7019R  ,KHWY,,KEZF,,PA-28-140,,N7019R
49d276,1662028493.0,,1662035510,,TVL5004 ,LHBP,,LGRP,,737NG 86N/W,B738,OK-TVU
40104f,1662016903.0,,1662026667,,EXS38JD ,EGNP,,LPFR,,BOEING 737-3U3,B733,G-GDFO
845ebc,1661993207.0,,1662001304,,ADO114  ,RJCC,,RJFF,,737NG 781/W,B737,JA11AN
151e1a,1662021271.0,,1662031586,,PBD247  ,UUWW,,,,Boeing 737-8LJ,B738,RA-73242
502d0f,1662044570.0,,1662051461,1662051453.0,BTI8BX  ,,EVRA,EDDM,EDDM,Airbus A220-300,BCS3,YL-AAS
394a31,1662052489.0,,1662054518,,FGSRR   ,LFCL,,LFCL,,DR.400 140B Dauphin 4,DR40,F-GSRR
4bb1e3,1662074527.0,,1662075770,,THY2TF  ,,,,,A330 343E,A333,TC-LOC
a67345,1662039201.0,,1662050108,,ASI164  ,KDVT,,KDVT,,PA-28-181,,N5144X
a2af3e,1662071493.0,,1662076529,,EDV5182 ,KCMH,,KJFK,,CL-600-2D24,CRJ9,N272PQ
a97328,1662044509.0,,1662045172,,N708KA  ,,,WA04,,DHC-3,,N708KA
a24e67,1662050824.0,,1662054966,,N248HA  ,KPBG,,KPTK,,750,,N248HA
7c5305,1662010682.0,,1662012154,,QLK533D ,,,YBBN,,DHC-8 402,DH8D,VH-QON
a9d7c8,1662068951.0,,1662072351,,N733SH  ,KAUO,,GA77,,172S,,N733SH
a2f43b,1662075441.0,,1662076276,,FDY8000 ,KBFD,,KDUJ,,208 B,C208,N29MG
a04f78,1662053580.0,,1662057487,,N119UV  ,KPVU,,KPVU,,DA 40,,N119UV
8991bf,1662009226.0,,1662016454,,CAL153  ,RJBB,,,,A330 302,A333,B-18352
adda71,1662001403.0,,1662003108,,N992DW  ,54CL,,KONT,,T206H,,N992DW
4ca9ed,1662037926.0,,1662047065,1662047027.0,RYR2799 ,,EVRA,EGGD,EGGD,BOEING 737-8AS,B738,EI-EVP
a6bcaa,1661990885.0,,1661995783,,N533ME  ,KAXQ,,KAXQ,,EC135T3,,N533ME
a3e525,1662034220.0,,1662041474,,DAL2882 ,KMSP,,KBWI,,,,
398c4e,1662036782.0,,1662037760,,SAMU71  ,LFSD,,LFLH,,Airbus Helicopters H135,EC35,F-HDCO
76e72a,1662004585.0,,1662009256,,EGLE870 ,YGIG,,YPEA,,PC-21,PC21,9110
ab394e,1662046837.0,,1662048467,,N822LL  ,KLEE,,KF45,,BD-100-1A10,,N822LL
48d981,1662019897.0,1662019843.0,1662021950,1662021948.0,PLF130  ,EPWA,EPWA,EPGD,EPGD,,,
a890d8,1662035518.0,,1662037058,,N651EC  ,KSWO,,3OK1,,177,,N651EC
4ca736,1662028413.0,1662028414.0,1662035848,,RYR2GC  ,LIRP,LIRP,,GMFF,BOEING 737-8AS,B738,EI-EBM
c0509f,1661990569.0,,1661992760,,WEN3508 ,CYXU,,CYYZ,,DHC-8-402 (Dehavilland),DH8D,C-GENU
7cfa05,1661992634.0,,1661996339,,RAVN11  ,YPKL,,,,Pilatus PC-21,PC21,A54-046
344697,1662043838.0,,1662045758,,VLG55GD ,,,,,,A320,EC-NPF
a07b8f,1662049546.0,,1662057557,,DAL1414 ,KIAH,,KDTW,,BD-500-1A10,,N130DU
4018b8,1662034021.0,,1662036238,,GAYJP   ,,,EGTK,,PIPER PA-28-140 Cherokee,P28A,G-AYJP
151daf,1662041348.0,,1662057108,,AFL2137 ,LTFM,,UUEE,,777-3M0(ER) ,B77W,RA-73135
a19ea5,1662053443.0,,1662068440,,N203RF  ,KOKC,,KRAP,,SR22,,N203RF
a9fb4e,1662036216.0,,1662043905,,AAL2064 ,KDCA,,KMSY,,A319-112,A319,N742PS
a1a375,1662052723.0,,1662057772,,N20412  ,KSDL,,KGEU,,172S,,N20412
a681e2,1662050987.0,,1662060425,,N51824  ,KIWA,,KIWA,,T206H,,N51824
6010c6,1662007970.0,,1662018767,,AVJ879  ,,,ULLI,,McDonnell Douglas MD-83,MD83,EX-80003
a9027b,1662049641.0,,1662052449,,N68SN   ,50IL,,50IL,,SENTINEL,,N68SN
3ff72b,1662017157.0,,1662019807,,DMIZL   ,EDFC,,EDFC,,Groppo G-70,G70,D-MIZL
899149,1662027855.0,,1662028731,,MDA350  ,,,RCKH,,,,
451e29,1661995535.0,,1661998617,,BCS5332 ,EDDP,,LZIB,,737-3Y5SF,B733,LZ-CGQ
3e742e,1662037626.0,,1662046641,,DKJES   ,EHHV,,EHHV,,,,
a086d8,1662004577.0,,1662008364,,FDX1227 ,KAUS,,KUTA,,767-3S2F,B763,N133FE
adf065,1662057874.0,,1662059309,,N998AK  ,PAMR,,,,C-12D-1 Huron,BE20,N998AK
abe930,1662056057.0,,1662068390,,DAL2735 ,KDEN,,KJFK,,737-900ER,B739,N867DN
e840a6,1662043417.0,,1662044746,,EQX1028 ,SEAS,,SEMY,,Boeing 737-7K2,B737,HC-CXC
3c6d43,1662044525.0,,1662048505,,KLM39T  ,EHAM,,ESGG,,,,
aaf0c6,1661990497.0,,1661993361,,AAL2439 ,,,KMIA,,787-8,B788,N804AN
4d21e6,1662029057.0,,1662034228,,,LGRP,,LLBG,,Boeing 737-85F,B738,9H-SHO
a31528,1662050173.0,,1662052735,,N298WB  ,KGKY,,KSAT,,HAWKER 800XP,H25B,N298WB
ae00a7,1662050211.0,,1662052003,,FREAK2  ,K92F,,K92F,,,,
a81832,1662006706.0,,1662008992,,SKQ57   ,,,7NC6,,PC-XII 45,PC12,N620WA
4cabfe,1662003304.0,,1662004348,,KZR7201 ,UATG,,,,Airbus A320-232,A320,EI-KBE
abbce5,1662070248.0,,1662076119,,SWA43   ,KSTL,,KDAL,,737-800,,N8554X
151ef5,1662063050.0,,1662071038,,SBI2601 ,UUDD,,,,,,
a08518,1662053371.0,,1662055463,,N13208  ,,,KJYO,,172M,,N13208
c0850c,1662041926.0,,1662046897,,JZA182  ,CYOW,,,,DHC-8-402 (Dehavilland),DH8D,C-GYJZ
ab2056,1662056970.0,,1662058920,,N816HA  ,K4J6,,83FL,,172R,C172,N816HA
c80cdf,1661997649.0,,1662002897,,ZKFTQ   ,NZHS,,NZFP,,Piper PA-38-112,PA38,ZK-FTQ
ab156e,1662056767.0,,1662058287,,N813KM  ,K1B2,,K1B2,,7GCBC,,N813KM
ad8ed7,1662039101.0,,1662045463,,AAL1061 ,KDFW,,FL11,,737-823,B738,N973AN
ab318c,1662054919.0,,1662057808,,N820HB  ,,,KMMU,,G-V,GLF5,N820HB
4bcc4e,1662047215.0,,1662049139,,THY3ZK  ,,,,,737NG 86N/W,B738,TC-SBN
8014dd,1662038227.0,,1662046513,,VTI820  ,VOBL,,VIDP,,,,
800d1c,1662052037.0,,1662064632,,SEJ137  ,VIDP,,,,,,
a771d3,1662035425.0,,1662039715,,N579WG  ,KBJC,,KBJC,,172S,,N579WG
ad715d,1662060379.0,,1662062895,,N9652F  ,KD98,,MI50,,208,C208,N9652F
c8173a,1661997936.0,,1661999138,,ZKTZZ   ,NZCH,,NZCH,,P.68C Victor,P68,ZK-TZZ
7c6dd7,1662066171.0,,1662070192,,QFA409  ,YSSY,,YMML,,737NG 838/W,B738,VH-VZD
aa9723,1662059044.0,,1662060807,,SWA306  ,,,21XS,,737NG 7K9,B737,N7814B
702c21,1662008179.0,,1662011213,,S3AJE   ,VGJR,,VGJR,,,,
a224fa,1661992015.0,,1662001937,,UAL1694 ,KSNA,,8TX7,,737-724,B737,N23708
3c6442,1662029490.0,1662029491.0,1662032390,1662032383.0,DLH6JF  ,EDDL,EDDL,EDDM,EDDM,Airbus A319 112,A319,D-AIBB
4ba674,1662056991.0,,1662058625,,TRK1    ,,,LTBA,,ACJ319 133X,A319,TC-IST
a1dc60,1662066856.0,,1662068016,,EJA219  ,KFRG,,KGON,,CL-600-2B16,CL65,N219QS
a884b6,1661997403.0,,1662005494,,UAL847  ,,,,,767-322,B763,N648UA
abf48c,1661999264.0,,1662001837,,N87FT   ,K79J,,1GE9,,RV-10,,N87FT
a2ed5a,1662051990.0,,1662055829,,SKW3505 ,KRNO,,KSLC,,ERJ 170-200 LL,,N288SY
a0103b,1662064793.0,,1662070090,,DAL1286 ,KDEN,,KMSP,,A321-211,,N103DY
4ca891,1662053269.0,,1662058429,,RYR2BB  ,EGSS,,LKPR,,BOEING 737-8AS,B738,EI-ENE
aa0db8,1661999123.0,,1662001258,,NASA747 ,,,,,747SP-21,B74S,N747NA
ae35cd,1662053890.0,,1662056035,,R01970  ,KSWF,,KSWF,,,,
acf8ed,1662032586.0,,1662038369,,N935HB  ,KDBQ,,KRVS,,,,
151daf,1662016018.0,,1662033598,,AFL2136 ,UUEE,,LTFM,,777-3M0(ER) ,B77W,RA-73135
a2b911,1662036726.0,,1662039119,,N275AB  ,KADS,,8TS2,,SR22,,N275AB
89913d,1662028231.0,,1662030805,,UIA8835 ,RCSS,,,,ATR 72 600,AT76,B-17017
ac0d29,1662041706.0,,1662042466,,N876FM  ,KC29,,KC47,,SR22T,,N876FM
a4c735,1662037576.0,,1662043734,,LXJ407  ,,,KRDG,,EMB-545,E545,N407FX
a1dc60,1662048581.0,,1662060638,,EJA219  ,,,KFRG,,CL-600-2B16,CL65,N219QS
a5625b,1662063393.0,,1662065149,,QXE2444 ,KSEA,,,,DHC-8-402,DH8D,N446QX
7c7c32,1662010215.0,,1662011089,,YTG     ,,,YPPF,,,DA40,VH-YTG
3ce02b,1662029084.0,1662029085.0,1662035956,1662036002.0,DCMET   ,EDMO,EDMO,EDMO,EDMO,Dassault Falcon 20 E,FA20,D-CMET
401139,1662043658.0,,1662046081,,BHL48N  ,,,EGPD,,SIKORSKY S-92A,S92,G-IACE
7586ff,1662025951.0,,1662041369,,CEB5057 ,,,RPLL,,Airbus A320-271N,A20N,RP-C4132
861f1a,1662033155.0,,1662037228,,ANA685  ,RJTT,,RJOA,,767 381ER,B763,JA616A
a1b7bb,1662043213.0,,1662045013,,AMF1968 ,KPDX,,KONP,,B-99,BE99,N21FW
ab20e7,1662002174.0,,1662008357,,DAL198  ,,,LFPG,,A330-323,A333,N816NW
a3e5cd,1662006017.0,,1662007853,,N350LF  ,KABQ,,KSAF,,AS350B3,AS50,N350LF
a380e6,1662059223.0,,1662059901,,TNKR169 ,,,KBOI,,AVRO 146-RJ85A,,N325AC
a98c7c,1662063964.0,,1662067821,,SCA14   ,KCGZ,,KSDL,,172S,,N714SC
405d11,1662045293.0,1662045294.0,1662049498,1662049626.0,EZY84MW ,EGPF,EGPF,EGKK,EGKK,AIRBUS A319-111,A319,G-EZDX
ab62f8,1662046659.0,,1662048471,,SWA1014 ,KSJC,,,,737-8H4,B738,N8326F
c0735e,1662071566.0,,1662073766,,CGRRX   ,CYPK,,CYPK,,AA-5 (American Aviation),,C-GRRX
aaac25,1662062062.0,,1662070979,,N787SP  ,KRHV,,KRHV,,,,
0d0acd,1662053440.0,,1662054050,,AMX924  ,,,,,B737-8,,XA-MAK
3008c4,1662027388.0,,1662028990,,IDNAM   ,,,LIPQ,,Airbus Helicopters H145,EC45,I-DNAM
400a99,1662074586.0,,1662076520,,BRO704B ,EGGP,,EGSS,,Boeing 737-76N,B737,G-NEWG
485873,1662019968.0,1662019974.0,1662023152,1662023125.0,KLM77N  ,EHAM,EHAM,EDDN,EDDN,ERJ-175STD,E75L,PH-EXW
4bcde3,1661996558.0,,1662008359,1662008358.0,SXS4L   ,,LTFH,EDDL,EDDL,737NG 800/W,B738,TC-SOC
4951d6,1662058680.0,,1662069110,,TAP829V ,LIMC,,LPPT,,A320 214,A320,CS-TNV
ada4d9,1662050750.0,,1662058603,,N9788M  ,KABQ,,KCOS,,,,
8965e1,1662037322.0,,1662052999,,ADY062  ,,,OMAA,,,,
ad493b,1662064860.0,,1662067921,,SWA251  ,KBNA,,KCMH,,737NG 7H4/W,B737,N955WN
c07f32,1662039007.0,,1662042776,,WEN3289 ,CYXE,,CYYC,,DHC-8-402 (Dehavilland),DH8D,C-GWEJ
7c6dda,1662028188.0,,1662030414,,QFA1225 ,,,YPPH,,737-838,B738,VH-VZG
7c7c9b,1661991884.0,,1661996321,,VOZ830  ,YSSY,,YMML,,737-800,B738,VH-YWD
706056,1661990412.0,,1662001733,,KAC411  ,,,VTBS,,Boeing 777-300(ER),B77W,9K-AOC
a1c8fa,1662000579.0,,1662003383,,N214GF  ,KPDK,,KGKT,,PA46R-350T,,N214GF
7c43d6,1662002954.0,,1662005789,,NOO     ,YMMB,,YMMB,,DA40,DHC2,VH-NOO
ac9c9f,1661998368.0,,1662000580,,N911YY  ,KMDW,,KIGQ,,206-L4,B06,N911YY
06a1bd,1661997097.0,,1662008990,1662008982.0,QTR16W  ,,OTHH,LFPG,LFPG,777 3DZER,B77W,A7-BEG
ad73fb,1661992253.0,,1661993519,,N966RV  ,KHWV,,KFOK,,VANS RV-6,,N966RV
5110f3,1662045218.0,,1662048763,,SZS2751 ,EKCH,,EPWA,,,,ES-ACM
151e58,1662042811.0,1662042812.0,1662047394,,PBD587  ,ULLI,ULLI,,UMKK,,,
a32814,1661996155.0,,1662000085,,EDV5235 ,KDTW,,CT32,,CL-600-2D24,CRJ9,N302PQ
a22432,1662050952.0,,1662055207,,N237TH  ,KMYF,,KMYF,,172S,,N237TH
ab2c8e,1662046866.0,,1662053335,,UAL1436 ,KEWR,,,,A319-131,A319,N819UA
a6ca0c,1662069491.0,,1662070617,,N5367H  ,KDPA,,KLOT,,172M,,N5367H
add660,1662040883.0,,1662042788,,AMF2870 ,KPHX,,KE51,,Beech 99 C,BE99,N991AF
a86a7e,1662072261.0,,1662075578,,RPA3493 ,24PA,,KEWR,,ERJ 170-100 SE,E170,N641RW
4b8e03,1662016711.0,,1662018766,,PGT73G  ,,,LTFJ,,737NG 82R/W,B738,TC-CPC
a000ce,1662051481.0,,1662056903,,N1JD    ,KLCI,,KLCI,,PA-34-200,,N1JD
7c6b17,1661992928.0,,1661995529,,JST258  ,,,NZAA,,A320-232,A320,VH-VFT
750229,1661996176.0,,1661999278,,FFM2903 ,,,WMKP,,737NG 8FZ/W,B738,9M-MLF
a29a78,1662035036.0,,1662035909,,N267RC  ,MDJB,,MDJB,,EC 130 B4,,N267RC
4d22a3,1662040562.0,,1662048283,,CXI3NY  ,EDDL,,LEPA,,Boeing 737-85R,B738,9H-CXB
adca21,1661990694.0,,1661993827,,N988P   ,KMRY,,KSNS,,LC41-550FG,,N988P
ad2dda,1662071262.0,,1662072027,,CAP5042 ,PABV,,PAMR,,182R,,N9484X
884207,1662034836.0,,1662036217,,BKP704  ,,,VTBS,,A319 131,A319,HS-PPG
c0693c,1662047253.0,,1662048801,,CGNWD   ,,,CYAV,,208B (Cessna),C208,C-GNWD
ac5488,1661990993.0,,1661998445,,DAL2318 ,,,KDTW,,737-900ER,,N894DN
800d2d,1661998390.0,,1662000249,,IGO5179 ,VIDN,,VIDP,,,A20N,VT-IZF
4ca74e,1662049446.0,,1662072029,,EIN1GX  ,EIDW,,KBOS,,A330-302,A333,EI-EAV
c82350,1662012700.0,,1662015176,,SDA655  ,NZWB,,NZCH,,PC-XII 45,PC12,ZK-PLX
4d21ec,1662017880.0,1662017881.0,1662022827,1662022793.0,RYR8KK  ,EGSS,EGSS,EDDB,EDDB,Boeing 737-8AS,B738,9H-QAD
ac71e7,1662062207.0,,1662070545,,AAL648  ,,,KPHL,,A319-115,A319,N90024
4ca6f1,1662006584.0,,1662009495,,ITY1778 ,,,LIRF,,A320-216,A320,EI-DSU
ad7683,1662049572.0,,1662051225,,OXF7933 ,KFFZ,,KFFZ,,DA 40,,N967DS
aa4682,1662045598.0,,1662048658,,GRYONE  ,KALB,,KLGA,,S-76D,S76,N761NY
4aca13,1662009003.0,1662009004.0,1662016769,1662016807.0,NSZ51M  ,ESSA,ESSA,EGKK,EGKK,737-8JP (W),B738,SE-RPS
a3a9ab,1661999322.0,,1662000975,,N335PD  ,KSNA,,KSNA,,R44 II,R44,N335PD
a98399,1662059473.0,,1662060171,,N712BE  ,KLOM,,KLOM,,SR22T,,N712BE
a22a3d,1661990404.0,,1661994746,,N239DC  ,UT90,,KLGU,,DA 40,,N239DC
a02c91,1662042737.0,,1662051359,,DAL2469 ,KLGA,,FA51,,BD-500-1A10,,N110DU
c05411,1662061585.0,,1662064441,,CGFVS   ,CNQ3,,CNQ3,,172M (Cessna),,C-GFVS
a9da1b,1662029048.0,,1662030149,,N734CB  ,KABQ,,,,C90A,BE9L,N734CB
